drugname,outcome_code,count
"AFSTYLA ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN",Hospitalization,14
"AFSTYLA ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN",Other Serious Outcome,26
AGALSIDASE BETA,Death,1
AGALSIDASE BETA,Hospitalization,87
AGALSIDASE BETA,Life Threatening,28
AGALSIDASE BETA,Other Serious Outcome,116
AGAMREE,Death,16
AGAMREE,Hospitalization,119
AGAMREE,Life Threatening,16
AGAMREE,Other Serious Outcome,156
AGRYLIN,Death,2
AGRYLIN,Hospitalization,2
AGRYLIN,Other Serious Outcome,18
AIMOVIG,Congenital Anomaly,894
AIMOVIG,Death,955
AIMOVIG,Disability,978
AIMOVIG,Hospitalization,1105
AIMOVIG,Life Threatening,992
AIMOVIG,Other Serious Outcome,1265
AIMOVIG,Required Intervention,5
AIRSUPRA,Hospitalization,23
AIRSUPRA,Other Serious Outcome,68
AJOVY,Congenital Anomaly,2
AJOVY,Death,14
AJOVY,Disability,28
AJOVY,Hospitalization,157
AJOVY,Life Threatening,13
AJOVY,Other Serious Outcome,586
AJOVY,Required Intervention,8
AKEEGA,Other Serious Outcome,4
AKLIEF,Hospitalization,37
AKLIEF,Other Serious Outcome,37
AKOVAZ,Death,14
AKOVAZ,Hospitalization,22
AKOVAZ,Life Threatening,8
AKOVAZ,Other Serious Outcome,22
AKYNZEO (FOSNETUPITANT\PALONOSETRON HYDROCHLORIDE),Hospitalization,2
AKYNZEO (FOSNETUPITANT\PALONOSETRON HYDROCHLORIDE),Other Serious Outcome,2
AKYNZEO (NETUPITANT\PALONOSETRON HYDROCHLORIDE),Death,23
AKYNZEO (NETUPITANT\PALONOSETRON HYDROCHLORIDE),Hospitalization,32
AKYNZEO (NETUPITANT\PALONOSETRON HYDROCHLORIDE),Life Threatening,11
AKYNZEO (NETUPITANT\PALONOSETRON HYDROCHLORIDE),Other Serious Outcome,41
ALACORT,Other Serious Outcome,3
"ALANINE, DL-\ARGININE\CYSTEINE\GLYCINE\HISTIDINE\ISOLEUCINE\LEUCINE\LYSINE\MAGNESIUM ACETATE\METHIONINE\PHENYLALANINE\PHOSPHORIC ACID\POTASSIUM CHLORIDE\POTASSIUM METABISULFITE\PROLINE\SERINE\SODIUM ACETATE\SODIUM CHLORIDE\THREONINE\TRYPTOPHAN\VALINE",Death,1
"ALANINE, DL-\ARGININE\CYSTEINE\GLYCINE\HISTIDINE\ISOLEUCINE\LEUCINE\LYSINE\MAGNESIUM ACETATE\METHIONINE\PHENYLALANINE\PHOSPHORIC ACID\POTASSIUM CHLORIDE\POTASSIUM METABISULFITE\PROLINE\SERINE\SODIUM ACETATE\SODIUM CHLORIDE\THREONINE\TRYPTOPHAN\VALINE",Hospitalization,1
"ALANINE\ARGININE\ASPARTIC ACID\CALCIUM CHLORIDE\DEXTROSE MONOHYDRATE\GLUTAMIC ACID\GLYCINE\HISTIDINE\ISOLEUCINE\LEUCINE\LYSINE ACETATE\MAGNESIUM CHLORIDE\METHIONINE\N-ACETYL-TYROSINE\PHENYLALANINE\POTASSIUM CHLORIDE\POTASSIUM PHOSPHATE, DIBASIC\PROLINE\SE",Death,1
"ALANINE\ARGININE\ASPARTIC ACID\CALCIUM CHLORIDE\DEXTROSE MONOHYDRATE\GLUTAMIC ACID\GLYCINE\HISTIDINE\ISOLEUCINE\LEUCINE\LYSINE ACETATE\MAGNESIUM CHLORIDE\METHIONINE\N-ACETYL-TYROSINE\PHENYLALANINE\POTASSIUM CHLORIDE\POTASSIUM PHOSPHATE, DIBASIC\PROLINE\SE",Hospitalization,1
"ALANINE\ARGININE\ASPARTIC ACID\CALCIUM CHLORIDE\DEXTROSE MONOHYDRATE\GLUTAMIC ACID\GLYCINE\HISTIDINE\ISOLEUCINE\LEUCINE\LYSINE ACETATE\MAGNESIUM CHLORIDE\METHIONINE\N-ACETYL-TYROSINE\PHENYLALANINE\POTASSIUM CHLORIDE\POTASSIUM PHOSPHATE, DIBASIC\PROLINE\SE",Other Serious Outcome,1
ALBENDAZOLE,Death,3
ALBENDAZOLE,Hospitalization,7
ALBENDAZOLE,Life Threatening,5
ALBENDAZOLE,Other Serious Outcome,15
ALBUMIN HUMAN,Death,5
ALBUMIN HUMAN,Hospitalization,27
ALBUMIN HUMAN,Life Threatening,13
ALBUMIN HUMAN,Other Serious Outcome,110
ALBUMINAR,Hospitalization,5
ALBUMINAR,Other Serious Outcome,7
ALBUREX,Death,13
ALBUREX,Hospitalization,14
ALBUREX,Life Threatening,13
ALBUREX,Other Serious Outcome,39
ALBURX,Disability,9
ALBURX,Hospitalization,28
ALBURX,Other Serious Outcome,95
ALBUTEIN,Hospitalization,14
ALBUTEIN,Life Threatening,1
ALBUTEROL,Congenital Anomaly,5958
ALBUTEROL,Death,6086
ALBUTEROL,Disability,6005
ALBUTEROL,Hospitalization,9086
ALBUTEROL,Life Threatening,8667
ALBUTEROL,Other Serious Outcome,10321
ALBUTEROL,Required Intervention,5
ALBUTEROL SULFATE,Congenital Anomaly,163
ALBUTEROL SULFATE,Death,211
ALBUTEROL SULFATE,Disability,192
ALBUTEROL SULFATE,Hospitalization,817
ALBUTEROL SULFATE,Life Threatening,234
ALBUTEROL SULFATE,Other Serious Outcome,1152
ALBUTEROL SULFATE,Required Intervention,2
ALBUTEROL SULFATE\IPRATROPIUM BROMIDE,Death,1
ALBUTEROL SULFATE\IPRATROPIUM BROMIDE,Hospitalization,1
ALBUTEROL SULFATE\IPRATROPIUM BROMIDE,Other Serious Outcome,1
ALBUTEROL\BUDESONIDE,Death,2
ALBUTEROL\BUDESONIDE,Hospitalization,2
ALBUTEROL\BUDESONIDE,Other Serious Outcome,25
ALBUTEROL\IPRATROPIUM,Hospitalization,47
ALBUTEROL\IPRATROPIUM,Other Serious Outcome,55
ALBUTEROL\IPRATROPIUM BROMIDE,Other Serious Outcome,1
ALCAINE,Other Serious Outcome,4
ALCOHOL,Death,3
ALCOHOL,Other Serious Outcome,2
ALCOHOL (ISOPROPYL ALCOHOL),Death,4
ALCOHOL WIPE (ISOPROPYL ALCOHOL),Hospitalization,1
ALDACTONE,Hospitalization,31
ALDACTONE,Life Threatening,5
ALDACTONE,Other Serious Outcome,36
ALDESLEUKIN,Death,13
ALDESLEUKIN,Hospitalization,54
ALDESLEUKIN,Life Threatening,42
ALDESLEUKIN,Other Serious Outcome,50
ALDURAZYME,Death,6
ALDURAZYME,Hospitalization,48
ALDURAZYME,Other Serious Outcome,51
ALECENSA,Death,35
ALECENSA,Disability,44
ALECENSA,Hospitalization,52
ALECENSA,Life Threatening,1
ALECENSA,Other Serious Outcome,136
ALECENSA,Required Intervention,1
ALECTINIB,Death,17
ALECTINIB,Hospitalization,12
ALECTINIB,Life Threatening,1
ALECTINIB,Other Serious Outcome,43
ALECTINIB HYDROCHLORIDE,Hospitalization,12
ALECTINIB HYDROCHLORIDE,Other Serious Outcome,13
ALEMTUZUMAB,Death,34
ALEMTUZUMAB,Disability,1
ALEMTUZUMAB,Hospitalization,593
ALEMTUZUMAB,Life Threatening,85
ALEMTUZUMAB,Other Serious Outcome,503
ALENDRONAT,Other Serious Outcome,1
ALENDRONATE,Congenital Anomaly,5
ALENDRONATE,Death,82
ALENDRONATE,Disability,39
ALENDRONATE,Hospitalization,75
ALENDRONATE,Life Threatening,48
